DATE_FORMAT,Grant Total
2021-08-27,169.0
2021-08-28,224.0
2021-08-29,196.0
2021-08-30,177.0
2021-08-31,156.0
2021-09-01,159.0
2021-09-02,172.0
2021-09-03,161.0
2021-09-04,214.0
2021-09-05,211.0
2021-09-06,166.0
2021-09-07,141.0
2021-09-08,160.0
2021-09-09,177.0
2021-09-10,164.0
2021-09-11,214.0
2021-09-12,194.0
2021-09-13,166.0
2021-09-14,140.0
2021-09-15,166.0
2021-09-16,151.0
2021-09-17,176.0
2021-09-18,203.0
2021-09-19,200.0
2021-09-20,167.0
2021-09-21,145.0
2021-09-22,151.0
2021-09-23,181.0
2021-09-24,172.0
2021-09-25,211.0
2021-09-26,221.0
2021-09-27,165.0
2021-09-28,152.0
2021-09-29,168.0
2021-09-30,180.0
2021-10-01,166.0
2021-10-02,215.0
2021-10-03,207.0
2021-10-04,172.0
2021-10-05,146.0
2021-10-06,162.0
2021-10-07,183.0
2021-10-08,180.0
2021-10-09,234.0
2021-10-10,207.0
2021-10-11,166.0
2021-10-12,129.0
2021-10-13,144.0
2021-10-14,126.0
2021-10-15,244.0
2021-10-16,248.0
2021-10-17,208.0
2021-10-18,169.0
2021-10-19,148.0
2021-10-20,147.0
2021-10-21,192.0
2021-10-22,184.0
2021-10-23,223.0
2021-10-24,215.0
2021-10-25,179.0
2021-10-26,138.0
2021-10-27,149.0
2021-10-28,159.0
2021-10-29,177.0
2021-10-30,214.0
2021-10-31,195.0
2021-11-01,163.0
2021-11-02,131.0
2021-11-03,145.0
2021-11-04,139.0
2021-11-05,149.0
2021-11-06,184.0
2021-11-07,122.0
2021-11-08,168.0
2021-11-09,104.0
2021-11-10,119.0
2021-11-11,125.0
2021-11-12,127.0
2021-11-13,153.0
2021-11-14,134.0
2021-11-15,124.0
2021-11-16,107.0
2021-11-17,119.0
2021-11-18,113.0
2021-11-19,101.0
2021-11-20,112.0
2021-11-21,122.0
2021-11-22,107.0
2021-11-23,92.0
2021-11-24,109.0
2021-11-25,94.0
2021-11-26,124.0
2021-11-27,128.0
2021-11-28,110.0
2021-11-29,99.0
2021-11-30,89.0
2021-12-01,109.0
2021-12-02,119.0
2021-12-03,121.0
2021-12-04,123.0
2021-12-05,107.0
2021-12-06,110.0
2021-12-07,82.0
2021-12-08,103.0
2021-12-09,106.0
2021-12-10,109.0
2021-12-11,110.0
2021-12-12,105.0
2021-12-13,112.0
2021-12-14,88.0
2021-12-15,98.0
2021-12-16,116.0
2021-12-17,141.0
2021-12-18,130.0
2021-12-19,116.0
2021-12-20,102.0
2021-12-21,95.0
2021-12-22,139.0
2021-12-23,129.0
2021-12-24,112.0
2021-12-25,65.0
2021-12-26,104.0
2021-12-27,119.0
2021-12-28,94.0
2021-12-29,109.0
2021-12-30,105.0
2021-12-31,69.0
