DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,YEAR,MONTH
2018-02-18,18,2.0,13.0,15,0.0,14.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,29,2018,FEB
2018-02-19,19,0.0,10.0,10,0.0,10.0,10,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,20,2018,FEB
2018-02-20,20,3.0,7.0,10,2.0,7.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5.0,5.0,10,3.0,32,2018,FEB
2018-02-21,21,11.0,8.0,19,3.0,15.0,18,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3.0,3.0,6,0.0,43,2018,FEB
2018-02-22,22,11.0,1.0,12,13.0,3.0,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3.0,3.0,6,0.0,34,2018,FEB
2018-02-23,23,5.0,4.0,9,3.0,6.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,18,2018,FEB
2018-02-24,24,2.0,10.0,12,0.0,13.0,13,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,26,2018,FEB
2018-02-25,25,0.0,17.0,17,0.0,15.0,15,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,1.0,1.0,2,0.0,35,2018,FEB
2018-02-26,26,4.0,12.0,16,3.0,13.0,16,0.0,0.0,0,0.0,0.0,0,4.0,0.0,4,5.0,5.0,10,6.0,52,2018,FEB
2018-02-27,27,2.0,11.0,13,1.0,10.0,11,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5.0,5.0,10,0.0,34,2018,FEB
2018-02-28,28,19.0,4.0,23,18.0,7.0,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.0,12.0,24,0.0,72,2018,FEB
2018-03-01,1,1.0,12.0,13,0.0,12.0,12,0.0,0.0,0,0.0,0.0,0,2.0,0.0,2,6.0,6.0,12,4.0,43,2018,MAR
2018-03-02,2,1.0,6.0,7,0.0,8.0,8,0.0,0.0,0,0.0,1.0,1,2.0,0.0,2,0.0,0.0,0,1.0,19,2018,MAR
2018-03-03,3,11.0,4.0,15,6.0,10.0,16,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,32,2018,MAR
