date,airport,station_code,total_flights
2013-03-15,Pafos,15,25.0
2013-03-16,Pafos,15,28.0
2013-03-17,Pafos,15,21.0
2013-03-18,Pafos,15,17.0
2013-03-19,Pafos,15,31.0
2013-03-20,Pafos,15,59.0
2013-03-21,Pafos,15,25.0
2013-03-22,Pafos,15,13.0
2013-03-23,Pafos,15,18.0
2013-03-24,Pafos,15,32.0
2013-03-25,Pafos,15,26.0
2013-03-26,Pafos,15,36.0
2013-03-27,Pafos,15,66.0
2013-03-28,Pafos,15,32.0
2013-03-29,Pafos,15,33.0
2013-03-30,Pafos,15,46.0
2013-03-31,Pafos,15,48.0
2013-04-01,Pafos,15,23.0
2013-04-02,Pafos,15,46.0
2013-04-03,Pafos,15,88.0
2013-04-04,Pafos,15,40.0
2013-04-05,Pafos,15,31.0
2013-04-06,Pafos,15,53.0
2013-04-07,Pafos,15,55.0
2013-04-08,Pafos,15,26.0
2013-04-09,Pafos,15,38.0
2013-04-10,Pafos,15,85.0
2013-04-11,Pafos,15,49.0
2013-04-12,Pafos,15,31.0
2013-04-13,Pafos,15,53.0
2013-04-14,Pafos,15,51.0
2013-04-15,Pafos,15,38.0
2013-04-16,Pafos,15,49.0
2013-04-17,Pafos,15,88.0
2013-04-18,Pafos,15,33.0
2013-04-19,Pafos,15,25.0
2013-04-20,Pafos,15,49.0
2013-04-21,Pafos,15,52.0
2013-04-22,Pafos,15,39.0
2013-04-23,Pafos,15,52.0
2013-04-24,Pafos,15,83.0
2013-04-25,Pafos,15,37.0
2013-04-26,Pafos,15,32.0
2013-04-27,Pafos,15,35.0
2013-04-28,Pafos,15,68.0
2013-04-29,Pafos,15,38.0
2013-04-30,Pafos,15,67.0
2013-05-01,Pafos,15,95.0
2013-05-02,Pafos,15,42.0
2013-05-03,Pafos,15,41.0
2013-05-04,Pafos,15,57.0
2013-05-05,Pafos,15,86.0
2013-05-06,Pafos,15,30.0
2013-05-07,Pafos,15,52.0
2013-05-08,Pafos,15,121.0
2013-05-09,Pafos,15,39.0
2013-05-10,Pafos,15,34.0
2013-05-11,Pafos,15,71.0
2013-05-12,Pafos,15,81.0
2013-05-13,Pafos,15,36.0
2013-05-14,Pafos,15,53.0
2013-05-15,Pafos,15,92.0
2013-05-16,Pafos,15,56.0
2013-05-17,Pafos,15,41.0
2013-05-18,Pafos,15,63.0
2013-05-19,Pafos,15,74.0
2013-05-20,Pafos,15,43.0
2013-05-21,Pafos,15,37.0
2013-05-22,Pafos,15,90.0
2013-05-23,Pafos,15,44.0
2013-05-24,Pafos,15,46.0
2013-05-25,Pafos,15,75.0
2013-05-26,Pafos,15,78.0
2013-05-27,Pafos,15,40.0
2013-05-28,Pafos,15,64.0
2013-05-29,Pafos,15,98.0
2013-05-30,Pafos,15,67.0
2013-05-31,Pafos,15,38.0
2013-06-01,Pafos,15,83.0
2013-06-02,Pafos,15,95.0
2013-06-03,Pafos,15,65.0
2013-06-04,Pafos,15,68.0
2013-06-05,Pafos,15,102.0
2013-06-06,Pafos,15,41.0
2013-06-07,Pafos,15,51.0
2013-06-08,Pafos,15,83.0
2013-06-09,Pafos,15,124.0
2013-06-10,Pafos,15,45.0
2013-06-11,Pafos,15,77.0
2013-06-12,Pafos,15,100.0
2013-06-13,Pafos,15,41.0
2013-06-14,Pafos,15,90.0
2013-06-15,Pafos,15,63.0
2013-06-16,Pafos,15,89.0
2013-06-17,Pafos,15,43.0
2013-06-18,Pafos,15,110.0
2013-06-19,Pafos,15,102.0
2013-06-20,Pafos,15,53.0
2013-06-21,Pafos,15,48.0
2013-06-22,Pafos,15,67.0
2013-06-23,Pafos,15,87.0
2013-06-24,Pafos,15,39.0
2013-06-25,Pafos,15,58.0
2013-06-26,Pafos,15,95.0
2013-06-27,Pafos,15,53.0
2013-06-28,Pafos,15,48.0
2013-06-29,Pafos,15,67.0
2013-06-30,Pafos,15,89.0
2013-07-01,Pafos,15,48.0
2013-07-02,Pafos,15,63.0
2013-07-03,Pafos,15,97.0
2013-07-04,Pafos,15,45.0
2013-07-05,Pafos,15,52.0
2013-07-06,Pafos,15,68.0
2013-07-07,Pafos,15,89.0
2013-07-08,Pafos,15,43.0
2013-07-09,Pafos,15,53.0
2013-07-10,Pafos,15,96.0
2013-07-11,Pafos,15,45.0
2013-07-12,Pafos,15,49.0
2013-07-13,Pafos,15,67.0
2013-07-14,Pafos,15,87.0
2013-07-15,Pafos,15,46.0
2013-07-16,Pafos,15,66.0
2013-07-17,Pafos,15,91.0
2013-07-18,Pafos,15,40.0
2013-07-19,Pafos,15,44.0
2013-07-20,Pafos,15,63.0
2013-07-21,Pafos,15,89.0
2013-07-22,Pafos,15,45.0
2013-07-23,Pafos,15,59.0
2013-07-24,Pafos,15,98.0
2013-07-25,Pafos,15,39.0
2013-07-26,Pafos,15,43.0
2013-07-27,Pafos,15,76.0
2013-07-28,Pafos,15,93.0
2013-07-29,Pafos,15,45.0
2013-07-30,Pafos,15,62.0
2013-07-31,Pafos,15,98.0
2013-08-01,Pafos,15,44.0
2013-08-02,Pafos,15,44.0
2013-08-03,Pafos,15,58.0
2013-08-04,Pafos,15,95.0
2013-08-05,Pafos,15,37.0
2013-08-06,Pafos,15,82.0
2013-08-07,Pafos,15,90.0
2013-08-08,Pafos,15,42.0
2013-08-09,Pafos,15,52.0
2013-08-10,Pafos,15,75.0
2013-08-11,Pafos,15,91.0
2013-08-12,Pafos,15,42.0
2013-08-13,Pafos,15,50.0
2013-08-14,Pafos,15,98.0
2013-08-15,Pafos,15,27.0
2013-08-16,Pafos,15,54.0
2013-08-17,Pafos,15,78.0
2013-08-18,Pafos,15,106.0
2013-08-19,Pafos,15,51.0
2013-08-20,Pafos,15,55.0
2013-08-21,Pafos,15,158.0
2013-08-22,Pafos,15,49.0
2013-08-23,Pafos,15,47.0
2013-08-24,Pafos,15,62.0
2013-08-25,Pafos,15,93.0
2013-08-26,Pafos,15,42.0
2013-08-27,Pafos,15,52.0
2013-08-28,Pafos,15,93.0
2013-08-29,Pafos,15,42.0
2013-08-30,Pafos,15,46.0
2013-08-31,Pafos,15,62.0
2013-09-01,Pafos,15,93.0
2013-09-02,Pafos,15,48.0
2013-09-03,Pafos,15,55.0
2013-09-04,Pafos,15,25.0
2013-09-05,Pafos,15,39.0
2013-09-06,Pafos,15,48.0
2013-09-07,Pafos,15,64.0
2013-09-08,Pafos,15,96.0
2013-09-09,Pafos,15,46.0
2013-09-10,Pafos,15,61.0
2013-09-11,Pafos,15,94.0
2013-09-12,Pafos,15,50.0
2013-09-13,Pafos,15,42.0
2013-09-14,Pafos,15,66.0
2013-09-15,Pafos,15,97.0
2013-09-16,Pafos,15,64.0
2013-09-17,Pafos,15,66.0
2013-09-18,Pafos,15,93.0
2013-09-19,Pafos,15,42.0
2013-09-20,Pafos,15,44.0
2013-09-21,Pafos,15,64.0
2013-09-22,Pafos,15,95.0
2013-09-23,Pafos,15,45.0
2013-09-24,Pafos,15,63.0
2013-09-25,Pafos,15,101.0
2013-09-26,Pafos,15,42.0
2013-09-27,Pafos,15,52.0
2013-09-28,Pafos,15,83.0
2013-09-29,Pafos,15,87.0
2013-09-30,Pafos,15,41.0
2013-10-01,Pafos,15,58.0
2013-10-02,Pafos,15,101.0
2013-10-03,Pafos,15,38.0
2013-10-04,Pafos,15,44.0
2013-10-05,Pafos,15,79.0
2013-10-06,Pafos,15,92.0
2013-10-07,Pafos,15,47.0
2013-10-08,Pafos,15,66.0
2013-10-09,Pafos,15,101.0
2013-10-10,Pafos,15,58.0
2013-10-11,Pafos,15,48.0
2013-10-12,Pafos,15,73.0
2013-10-13,Pafos,15,106.0
2013-10-14,Pafos,15,70.0
2013-10-15,Pafos,15,70.0
2013-10-16,Pafos,15,109.0
2013-10-17,Pafos,15,51.0
2013-10-18,Pafos,15,48.0
2013-10-19,Pafos,15,69.0
2013-10-20,Pafos,15,95.0
2013-10-21,Pafos,15,51.0
2013-10-22,Pafos,15,60.0
2013-10-23,Pafos,15,110.0
2013-10-24,Pafos,15,58.0
2013-10-25,Pafos,15,58.0
2013-10-26,Pafos,15,83.0
2013-10-27,Pafos,15,88.0
2013-10-28,Pafos,15,29.0
2013-10-29,Pafos,15,56.0
2013-10-30,Pafos,15,84.0
2013-10-31,Pafos,15,42.0
2013-11-01,Pafos,15,37.0
2013-11-02,Pafos,15,63.0
2013-11-03,Pafos,15,77.0
2013-11-04,Pafos,15,30.0
2013-11-05,Pafos,15,49.0
2013-11-06,Pafos,15,52.0
2013-11-07,Pafos,15,20.0
2013-11-08,Pafos,15,26.0
2013-11-09,Pafos,15,45.0
2013-11-10,Pafos,15,39.0
2013-11-11,Pafos,15,25.0
2013-11-12,Pafos,15,37.0
2013-11-13,Pafos,15,72.0
2013-11-14,Pafos,15,37.0
2013-11-15,Pafos,15,19.0
2013-11-16,Pafos,15,36.0
2013-11-17,Pafos,15,32.0
2013-11-18,Pafos,15,20.0
2013-11-19,Pafos,15,26.0
2013-11-20,Pafos,15,59.0
2013-11-21,Pafos,15,39.0
2013-11-22,Pafos,15,28.0
2013-11-23,Pafos,15,45.0
2013-11-24,Pafos,15,29.0
2013-11-25,Pafos,15,21.0
2013-11-26,Pafos,15,37.0
2013-11-27,Pafos,15,49.0
2013-11-28,Pafos,15,29.0
2013-11-29,Pafos,15,27.0
2013-11-30,Pafos,15,38.0
2013-12-01,Pafos,15,31.0
2013-12-02,Pafos,15,21.0
2013-12-03,Pafos,15,30.0
2013-12-04,Pafos,15,40.0
2013-12-05,Pafos,15,33.0
2013-12-06,Pafos,15,35.0
2013-12-07,Pafos,15,30.0
2013-12-08,Pafos,15,28.0
2013-12-09,Pafos,15,27.0
2013-12-10,Pafos,15,63.0
2013-12-11,Pafos,15,36.0
2013-12-12,Pafos,15,37.0
2013-12-13,Pafos,15,15.0
2013-12-14,Pafos,15,36.0
2013-12-15,Pafos,15,31.0
